Dataset_name;Observation_ID;Date_time;Measuring_area_type;lat;lng;Datum_coordinate_system;Parameters_measured;Abstract;Platform_type;device_type;device_name;Station_name;PI;Station_start_date_time;Station_end_date_time;Language;Profile;Data_format;Data_file;FU_Value;viewing_angle;azimuth_angle;Cloud_Fraction;Rain;bottom;UserHasSecchiDisk;UserHasPlasticFUScale
CAF2FE3BDEE29DAFB.1415620540780;AF2FE3BDEE29DAFB1415620529231;2014-11-10T11:55+0000;Point;413.812.205;21.853.492;4326:WGS84;R410;<LocationAccuracy>591.0</LocationAccuracy><CameraParameters><Antibanding>auto</Antibanding><AutoExposureLock>false</AutoExposureLock><AutoWhiteBalanceLock>false</AutoWhiteBalanceLock><ColorEffect>none</ColorEffect><ExposureCompensation>0</ExposureCompensation><FlashMode>off</FlashMode><FocalLength>4.6</FocalLength><FocusMode>auto</FocusMode><HorizontalViewAngle>68.4</HorizontalViewAngle><JpegQuality>85</JpegQuality><PictureFormat>256</PictureFormat><PictureSize>1920x1080</PictureSize><Scene>auto</Scene><VerticalViewAngle>38.18</VerticalViewAngle><WhiteBalance>auto</WhiteBalance><Zoom>0</Zoom></CameraParameters>;71:Human;XXX:???????;Sony D6603;AF2FE3BDEE29DAFB;AF2FE3BDEE29DAFB;2014-11-10T11:55+0000;2014-11-10T11:55+0000;en;RESEARCHER;JPG;CAF2FE3BDEE29DAFB.1415620540780.jpg;2;87;70;Few;No;null;FALSE;FALSE
CAF2FE3BDEE29DAFB.1415621068839;AF2FE3BDEE29DAFB1415621060648;2014-11-10T12:04+0000;Point;413.812.205;21.853.492;4326:WGS84;R410;<LocationAccuracy>591.0</LocationAccuracy><CameraParameters><Antibanding>auto</Antibanding><AutoExposureLock>false</AutoExposureLock><AutoWhiteBalanceLock>false</AutoWhiteBalanceLock><ColorEffect>none</ColorEffect><ExposureCompensation>0</ExposureCompensation><FlashMode>off</FlashMode><FocalLength>4.6</FocalLength><FocusMode>auto</FocusMode><HorizontalViewAngle>68.4</HorizontalViewAngle><JpegQuality>85</JpegQuality><PictureFormat>256</PictureFormat><PictureSize>1920x1080</PictureSize><Scene>auto</Scene><VerticalViewAngle>38.18</VerticalViewAngle><WhiteBalance>auto</WhiteBalance><Zoom>0</Zoom></CameraParameters>;71:Human;XXX:???????;Sony D6603;AF2FE3BDEE29DAFB;AF2FE3BDEE29DAFB;2014-11-10T12:04+0000;2014-11-10T12:04+0000;en;RESEARCHER;JPG;CAF2FE3BDEE29DAFB.1415621068839.jpg;2;33;97;Few;No;null;FALSE;FALSE
